"treatment","species","method","leaf_mass","time","VOC"
"WET","Ceanothus griseus","Control ",0.3283,"1",12
"WET","Ceanothus griseus","Control ",0.3283,"2.5",99
"WET","Ceanothus griseus","Control ",0.3283,"5",74
"WET","Ceanothus griseus","Control ",0.3283,"7.5",84
"WET","Ceanothus griseus","Control ",0.3283,"10",96
"WET","Ceanothus griseus","Control ",0.14,"0",0
"WET","Ceanothus griseus","Control ",0.14,"1",0
"WET","Ceanothus griseus","Control ",0.14,"2.5",0
"WET","Ceanothus griseus","Control ",0.14,"5",0
"WET","Ceanothus griseus","Control ",0.14,"7.5",0
"WET","Ceanothus griseus","Control ",0.14,"10",0
"WET","Ceanothus griseus","Control ",0.1926,"0",0
"WET","Ceanothus griseus","Control ",0.1926,"1",5
"WET","Ceanothus griseus","Control ",0.1926,"2.5",4
"WET","Ceanothus griseus","Control ",0.1926,"5",17
"WET","Ceanothus griseus","Control ",0.1926,"7.5",35
"WET","Ceanothus griseus","Control ",0.1926,"10",41
"WET","Ceanothus griseus","Control ",0.0664,"0",0
"WET","Ceanothus griseus","Control ",0.0664,"1",41
"WET","Ceanothus griseus","Control ",0.0664,"2.5",43
"WET","Ceanothus griseus","Control ",0.0664,"5",47
"WET","Ceanothus griseus","Control ",0.0664,"7.5",42
"WET","Ceanothus griseus","Control ",0.0664,"10",37
"WET","Ceanothus griseus","Heated ",0.1282,"0",330
"WET","Ceanothus griseus","Heated ",0.1282,"1",397
"WET","Ceanothus griseus","Heated ",0.1282,"2.5",495
"WET","Ceanothus griseus","Heated ",0.1282,"5",657
"WET","Ceanothus griseus","Heated ",0.1282,"7.5",760
"WET","Ceanothus griseus","Heated ",0.1282,"10",848
"WET","Ceanothus griseus","Heated ",0.0846,"0",473
"WET","Ceanothus griseus","Heated ",0.0846,"1",698
"WET","Ceanothus griseus","Heated ",0.0846,"2.5",841
"WET","Ceanothus griseus","Heated ",0.0846,"5",1087
"WET","Ceanothus griseus","Heated ",0.0846,"7.5",1393
"WET","Ceanothus griseus","Heated ",0.0846,"10",1648
"WET","Ceanothus griseus","Heated ",0.0937,"0",427
"WET","Ceanothus griseus","Heated ",0.0937,"1",582
"WET","Ceanothus griseus","Heated ",0.0937,"2.5",832
"WET","Ceanothus griseus","Heated ",0.0937,"5",949
"WET","Ceanothus griseus","Heated ",0.0937,"7.5",1217
"WET","Ceanothus griseus","Heated ",0.0937,"10",1432
"WET","Ceanothus griseus","Heated ",0.0731,"0",462
"WET","Ceanothus griseus","Heated ",0.0731,"1",572
"WET","Ceanothus griseus","Heated ",0.0731,"2.5",728
"WET","Ceanothus griseus","Heated ",0.0731,"5",892
"WET","Ceanothus griseus","Heated ",0.0731,"7.5",1008
"WET","Ceanothus griseus","Heated ",0.0731,"10",1282
"WET","Ceanothus griseus","Heated ",0.1502,"0",789
"WET","Ceanothus griseus","Heated ",0.1502,"1",1235
"WET","Ceanothus griseus","Heated ",0.1502,"2.5",1556
"WET","Ceanothus griseus","Heated ",0.1502,"5",2640
"WET","Ceanothus griseus","Heated ",0.1502,"7.5",3127
"WET","Ceanothus griseus","Heated ",0.1502,"10",3204
"WET","Artemesia californica","Control ",0.0938,"0",0
"WET","Artemesia californica","Control ",0.0938,"1",31
"WET","Artemesia californica","Control ",0.0938,"2.5",29
"WET","Artemesia californica","Control ",0.0938,"5",0
"WET","Artemesia californica","Control ",0.0938,"7.5",0
"WET","Artemesia californica","Control ",0.0938,"10",0
"WET","Artemesia californica","Control ",0.1035,"0",368
"WET","Artemesia californica","Control ",0.1035,"1",325
"WET","Artemesia californica","Control ",0.1035,"2.5",224
"WET","Artemesia californica","Control ",0.1035,"5",85
"WET","Artemesia californica","Control ",0.1035,"7.5",37
"WET","Artemesia californica","Control ",0.1035,"10",10
"WET","Artemesia californica","Control ",0.0698,"0",22
"WET","Artemesia californica","Control ",0.0698,"1",185
"WET","Artemesia californica","Control ",0.0698,"2.5",151
"WET","Artemesia californica","Control ",0.0698,"5",107
"WET","Artemesia californica","Control ",0.0698,"7.5",73
"WET","Artemesia californica","Control ",0.0698,"10",67
"WET","Artemesia californica","Control ",0.0868,"0",309
"WET","Artemesia californica","Control ",0.0868,"1",484
"WET","Artemesia californica","Control ",0.0868,"2.5",355
"WET","Artemesia californica","Control ",0.0868,"5",240
"WET","Artemesia californica","Control ",0.0868,"7.5",167
"WET","Artemesia californica","Control ",0.0868,"10",144
"WET","Artemesia californica","Control ",0.0783,"0",72
"WET","Artemesia californica","Control ",0.0783,"1",266
"WET","Artemesia californica","Control ",0.0783,"2.5",235
"WET","Artemesia californica","Control ",0.0783,"5",192
"WET","Artemesia californica","Control ",0.0783,"7.5",156
"WET","Artemesia californica","Control ",0.0783,"10",143
"WET","Artemesia californica","Heated ",0.0776,"0",1153
"WET","Artemesia californica","Heated ",0.0776,"1",1879
"WET","Artemesia californica","Heated ",0.0776,"2.5",2953
"WET","Artemesia californica","Heated ",0.0776,"5",4178
"WET","Artemesia californica","Heated ",0.0776,"7.5",4916
"WET","Artemesia californica","Heated ",0.0776,"10",5147
"WET","Artemesia californica","Heated ",0.0928,"0",1195
"WET","Artemesia californica","Heated ",0.0928,"1",1703
"WET","Artemesia californica","Heated ",0.0928,"2.5",2639
"WET","Artemesia californica","Heated ",0.0928,"5",3206
"WET","Artemesia californica","Heated ",0.0928,"7.5",3693
"WET","Artemesia californica","Heated ",0.0928,"10",4285
"WET","Artemesia californica","Heated ",0.0632,"0",822
"WET","Artemesia californica","Heated ",0.0632,"1",2254
"WET","Artemesia californica","Heated ",0.0632,"2.5",2387
"WET","Artemesia californica","Heated ",0.0632,"5",2202
"WET","Artemesia californica","Heated ",0.0632,"7.5",2051
"WET","Artemesia californica","Heated ",0.0632,"10",2006
"WET","Artemesia californica","Heated ",0.0629,"0",939
"WET","Artemesia californica","Heated ",0.0629,"1",1226
"WET","Artemesia californica","Heated ",0.0629,"2.5",1953
"WET","Artemesia californica","Heated ",0.0629,"5",2439
"WET","Artemesia californica","Heated ",0.0629,"7.5",2742
"WET","Artemesia californica","Heated ",0.0629,"10",3029
"WET","Artemesia californica","Heated ",0.1057,"0",1245
"WET","Artemesia californica","Heated ",0.1057,"1",2302
"WET","Artemesia californica","Heated ",0.1057,"2.5",3041
"WET","Artemesia californica","Heated ",0.1057,"5",3646
"WET","Artemesia californica","Heated ",0.1057,"7.5",3405
"WET","Artemesia californica","Heated ",0.1057,"10",3308
"WET","Heteromeles arbutifolia","Control ",0.2858,"0",2
"WET","Heteromeles arbutifolia","Control ",0.2858,"1",62
"WET","Heteromeles arbutifolia","Control ",0.2858,"2.5",67
"WET","Heteromeles arbutifolia","Control ",0.2858,"5",65
"WET","Heteromeles arbutifolia","Control ",0.2858,"7.5",76
"WET","Heteromeles arbutifolia","Control ",0.2858,"10",89
"WET","Heteromeles arbutifolia","Control ",0.3678,"0",743
"WET","Heteromeles arbutifolia","Control ",0.3678,"1",754
"WET","Heteromeles arbutifolia","Control ",0.3678,"2.5",820
"WET","Heteromeles arbutifolia","Control ",0.3678,"5",708
"WET","Heteromeles arbutifolia","Control ",0.3678,"7.5",605
"WET","Heteromeles arbutifolia","Control ",0.3678,"10",505
"WET","Heteromeles arbutifolia","Control ",0.6318,"0",50
"WET","Heteromeles arbutifolia","Control ",0.6318,"1",116
"WET","Heteromeles arbutifolia","Control ",0.6318,"2.5",137
"WET","Heteromeles arbutifolia","Control ",0.6318,"5",134
"WET","Heteromeles arbutifolia","Control ",0.6318,"7.5",146
"WET","Heteromeles arbutifolia","Control ",0.6318,"10",152
"WET","Heteromeles arbutifolia","Control ",0.4319,"0",239
"WET","Heteromeles arbutifolia","Control ",0.4319,"1",349
"WET","Heteromeles arbutifolia","Control ",0.4319,"2.5",438
"WET","Heteromeles arbutifolia","Control ",0.4319,"5",352
"WET","Heteromeles arbutifolia","Control ",0.4319,"7.5",284
"WET","Heteromeles arbutifolia","Control ",0.4319,"10",204
"WET","Heteromeles arbutifolia","Control ",0.3212,"0",141
"WET","Heteromeles arbutifolia","Control ",0.3212,"1",145
"WET","Heteromeles arbutifolia","Control ",0.3212,"2.5",147
"WET","Heteromeles arbutifolia","Control ",0.3212,"5",151
"WET","Heteromeles arbutifolia","Control ",0.3212,"7.5",152
"WET","Heteromeles arbutifolia","Control ",0.3212,"10",148
"WET","Heteromeles arbutifolia","Heated ",0.2149,"0",1002
"WET","Heteromeles arbutifolia","Heated ",0.2149,"1",1843
"WET","Heteromeles arbutifolia","Heated ",0.2149,"2.5",6886
"WET","Heteromeles arbutifolia","Heated ",0.2149,"5",8481
"WET","Heteromeles arbutifolia","Heated ",0.2149,"7.5",5789
"WET","Heteromeles arbutifolia","Heated ",0.2149,"10",4994
"WET","Heteromeles arbutifolia","Heated ",0.5432,"0",436
"WET","Heteromeles arbutifolia","Heated ",0.5432,"1",579
"WET","Heteromeles arbutifolia","Heated ",0.5432,"2.5",840
"WET","Heteromeles arbutifolia","Heated ",0.5432,"5",1892
"WET","Heteromeles arbutifolia","Heated ",0.5432,"7.5",2735
"WET","Heteromeles arbutifolia","Heated ",0.5432,"10",3329
"WET","Heteromeles arbutifolia","Heated ",0.3056,"0",2189
"WET","Heteromeles arbutifolia","Heated ",0.3056,"1",2677
"WET","Heteromeles arbutifolia","Heated ",0.3056,"2.5",3691
"WET","Heteromeles arbutifolia","Heated ",0.3056,"5",3693
"WET","Heteromeles arbutifolia","Heated ",0.3056,"7.5",2432
"WET","Heteromeles arbutifolia","Heated ",0.3056,"10",2274
"WET","Heteromeles arbutifolia","Heated ",0.2192,"0",1291
"WET","Heteromeles arbutifolia","Heated ",0.2192,"1",1782
"WET","Heteromeles arbutifolia","Heated ",0.2192,"2.5",2459
"WET","Heteromeles arbutifolia","Heated ",0.2192,"5",2632
"WET","Heteromeles arbutifolia","Heated ",0.2192,"7.5",2389
"WET","Heteromeles arbutifolia","Heated ",0.2192,"10",1921
"WET","Heteromeles arbutifolia","Heated ",0.2548,"0",665
"WET","Heteromeles arbutifolia","Heated ",0.2548,"1",835
"WET","Heteromeles arbutifolia","Heated ",0.2548,"2.5",1127
"WET","Heteromeles arbutifolia","Heated ",0.2548,"5",1807
"WET","Heteromeles arbutifolia","Heated ",0.2548,"7.5",3026
"WET","Heteromeles arbutifolia","Heated ",0.2548,"10",3740
"WET","Malosma laurina","Control ",0.6484,"0",226
"WET","Malosma laurina","Control ",0.6484,"1",1563
"WET","Malosma laurina","Control ",0.6484,"2.5",1683
"WET","Malosma laurina","Control ",0.6484,"5",1377
"WET","Malosma laurina","Control ",0.6484,"7.5",1291
"WET","Malosma laurina","Control ",0.6484,"10",1184
"WET","Malosma laurina","Control ",0.5212,"0",30160
"WET","Malosma laurina","Control ",0.5212,"1",19830
"WET","Malosma laurina","Control ",0.5212,"2.5",13570
"WET","Malosma laurina","Control ",0.5212,"5",6665
"WET","Malosma laurina","Control ",0.5212,"7.5",3884
"WET","Malosma laurina","Control ",0.5212,"10",3276
"WET","Malosma laurina","Control ",0.4789,"0",825
"WET","Malosma laurina","Control ",0.4789,"1",30210
"WET","Malosma laurina","Control ",0.4789,"2.5",16930
"WET","Malosma laurina","Control ",0.4789,"5",14120
"WET","Malosma laurina","Control ",0.4789,"7.5",9039
"WET","Malosma laurina","Control ",0.4789,"10",7290
"WET","Malosma laurina","Control ",0.3776,"0",1640
"WET","Malosma laurina","Control ",0.3776,"1",14290
"WET","Malosma laurina","Control ",0.3776,"2.5",3124
"WET","Malosma laurina","Control ",0.3776,"5",2862
"WET","Malosma laurina","Control ",0.3776,"7.5",3083
"WET","Malosma laurina","Control ",0.3776,"10",2783
"WET","Malosma laurina","Control ",0.2731,"0",19830
"WET","Malosma laurina","Control ",0.2731,"1",13860
"WET","Malosma laurina","Control ",0.2731,"2.5",7864
"WET","Malosma laurina","Control ",0.2731,"5",5042
"WET","Malosma laurina","Control ",0.2731,"7.5",3879
"WET","Malosma laurina","Control ",0.2731,"10",2659
"WET","Malosma laurina","Heated ",0.1472,"0",114100
"WET","Malosma laurina","Heated ",0.1472,"1",33610
"WET","Malosma laurina","Heated ",0.1472,"2.5",41860
"WET","Malosma laurina","Heated ",0.1472,"5",52850
"WET","Malosma laurina","Heated ",0.1472,"7.5",48190
"WET","Malosma laurina","Heated ",0.1472,"10",42660
"WET","Malosma laurina","Heated ",0.3005,"0",3883
"WET","Malosma laurina","Heated ",0.3005,"1",38740
"WET","Malosma laurina","Heated ",0.3005,"2.5",49810
"WET","Malosma laurina","Heated ",0.3005,"5",46250
"WET","Malosma laurina","Heated ",0.3005,"7.5",34810
"WET","Malosma laurina","Heated ",0.3005,"10",24760
"WET","Malosma laurina","Heated ",0.7168,"0",1687
"WET","Malosma laurina","Heated ",0.7168,"1",13540
"WET","Malosma laurina","Heated ",0.7168,"2.5",24070
"WET","Malosma laurina","Heated ",0.7168,"5",27780
"WET","Malosma laurina","Heated ",0.7168,"7.5",33670
"WET","Malosma laurina","Heated ",0.7168,"10",32180
"WET","Malosma laurina","Heated ",0.2193,"0",2839
"WET","Malosma laurina","Heated ",0.2193,"1",19210
"WET","Malosma laurina","Heated ",0.2193,"2.5",23420
"WET","Malosma laurina","Heated ",0.2193,"5",21930
"WET","Malosma laurina","Heated ",0.2193,"7.5",16380
"WET","Malosma laurina","Heated ",0.2193,"10",14390
"WET","Malosma laurina","Heated ",0.1538,"0",10840
"WET","Malosma laurina","Heated ",0.1538,"1",25480
"WET","Malosma laurina","Heated ",0.1538,"2.5",28290
"WET","Malosma laurina","Heated ",0.1538,"5",22810
"WET","Malosma laurina","Heated ",0.1538,"7.5",18370
"WET","Malosma laurina","Heated ",0.1538,"10",15930
"WET","Arctostaphylos densifolia","Control ",0.2096,"0",219
"WET","Arctostaphylos densifolia","Control ",0.2096,"1",456
"WET","Arctostaphylos densifolia","Control ",0.2096,"2.5",259
"WET","Arctostaphylos densifolia","Control ",0.2096,"5",219
"WET","Arctostaphylos densifolia","Control ",0.2096,"7.5",188
"WET","Arctostaphylos densifolia","Control ",0.2096,"10",176
"WET","Arctostaphylos densifolia","Control ",0.1167,"0",186
"WET","Arctostaphylos densifolia","Control ",0.1167,"1",244
"WET","Arctostaphylos densifolia","Control ",0.1167,"2.5",242
"WET","Arctostaphylos densifolia","Control ",0.1167,"5",260
"WET","Arctostaphylos densifolia","Control ",0.1167,"7.5",252
"WET","Arctostaphylos densifolia","Control ",0.1167,"10",218
"WET","Arctostaphylos densifolia","Control ",0.0973,"0",213
"WET","Arctostaphylos densifolia","Control ",0.0973,"1",298
"WET","Arctostaphylos densifolia","Control ",0.0973,"2.5",312
"WET","Arctostaphylos densifolia","Control ",0.0973,"5",276
"WET","Arctostaphylos densifolia","Control ",0.0973,"7.5",263
"WET","Arctostaphylos densifolia","Control ",0.0973,"10",225
"WET","Arctostaphylos densifolia","Control ",0.0992,"0",192
"WET","Arctostaphylos densifolia","Control ",0.0992,"1",231
"WET","Arctostaphylos densifolia","Control ",0.0992,"2.5",321
"WET","Arctostaphylos densifolia","Control ",0.0992,"5",417
"WET","Arctostaphylos densifolia","Control ",0.0992,"7.5",377
"WET","Arctostaphylos densifolia","Control ",0.0992,"10",352
"WET","Arctostaphylos densifolia","Control ",0.1313,"0",329
"WET","Arctostaphylos densifolia","Control ",0.1313,"1",421
"WET","Arctostaphylos densifolia","Control ",0.1313,"2.5",450
"WET","Arctostaphylos densifolia","Control ",0.1313,"5",398
"WET","Arctostaphylos densifolia","Control ",0.1313,"7.5",376
"WET","Arctostaphylos densifolia","Control ",0.1313,"10",341
"WET","Arctostaphylos densifolia","Heated ",0.2202,"0",397
"WET","Arctostaphylos densifolia","Heated ",0.2202,"1",448
"WET","Arctostaphylos densifolia","Heated ",0.2202,"2.5",467
"WET","Arctostaphylos densifolia","Heated ",0.2202,"5",532
"WET","Arctostaphylos densifolia","Heated ",0.2202,"7.5",621
"WET","Arctostaphylos densifolia","Heated ",0.2202,"10",643
"WET","Arctostaphylos densifolia","Heated ",0.1082,"0",493
"WET","Arctostaphylos densifolia","Heated ",0.1082,"1",588
"WET","Arctostaphylos densifolia","Heated ",0.1082,"2.5",728
"WET","Arctostaphylos densifolia","Heated ",0.1082,"5",821
"WET","Arctostaphylos densifolia","Heated ",0.1082,"7.5",876
"WET","Arctostaphylos densifolia","Heated ",0.1082,"10",903
"WET","Arctostaphylos densifolia","Heated ",0.1071,"0",362
"WET","Arctostaphylos densifolia","Heated ",0.1071,"1",489
"WET","Arctostaphylos densifolia","Heated ",0.1071,"2.5",531
"WET","Arctostaphylos densifolia","Heated ",0.1071,"5",598
"WET","Arctostaphylos densifolia","Heated ",0.1071,"7.5",647
"WET","Arctostaphylos densifolia","Heated ",0.1071,"10",711
"WET","Arctostaphylos densifolia","Heated ",0.0882,"0",513
"WET","Arctostaphylos densifolia","Heated ",0.0882,"1",624
"WET","Arctostaphylos densifolia","Heated ",0.0882,"2.5",783
"WET","Arctostaphylos densifolia","Heated ",0.0882,"5",893
"WET","Arctostaphylos densifolia","Heated ",0.0882,"7.5",948
"WET","Arctostaphylos densifolia","Heated ",0.0882,"10",1118
"WET","Arctostaphylos densifolia","Heated ",0.1244,"0",484
"WET","Arctostaphylos densifolia","Heated ",0.1244,"1",557
"WET","Arctostaphylos densifolia","Heated ",0.1244,"2.5",630
"WET","Arctostaphylos densifolia","Heated ",0.1244,"5",874
"WET","Arctostaphylos densifolia","Heated ",0.1244,"7.5",967
"WET","Arctostaphylos densifolia","Heated ",0.1244,"10",1121
"WET","Erigeron karvinskianus","Control ",0.0213,"0",298
"WET","Erigeron karvinskianus","Control ",0.0213,"1",312
"WET","Erigeron karvinskianus","Control ",0.0213,"2.5",303
"WET","Erigeron karvinskianus","Control ",0.0213,"5",286
"WET","Erigeron karvinskianus","Control ",0.0213,"7.5",274
"WET","Erigeron karvinskianus","Control ",0.0213,"10",268
"WET","Erigeron karvinskianus","Control ",0.0343,"0",307
"WET","Erigeron karvinskianus","Control ",0.0343,"1",348
"WET","Erigeron karvinskianus","Control ",0.0343,"2.5",336
"WET","Erigeron karvinskianus","Control ",0.0343,"5",327
"WET","Erigeron karvinskianus","Control ",0.0343,"7.5",317
"WET","Erigeron karvinskianus","Control ",0.0343,"10",286
"WET","Erigeron karvinskianus","Control ",0.0259,"0",332
"WET","Erigeron karvinskianus","Control ",0.0259,"1",387
"WET","Erigeron karvinskianus","Control ",0.0259,"2.5",373
"WET","Erigeron karvinskianus","Control ",0.0259,"5",326
"WET","Erigeron karvinskianus","Control ",0.0259,"7.5",308
"WET","Erigeron karvinskianus","Control ",0.0259,"10",279
"WET","Erigeron karvinskianus","Control ",0.0267,"0",252
"WET","Erigeron karvinskianus","Control ",0.0267,"1",275
"WET","Erigeron karvinskianus","Control ",0.0267,"2.5",249
"WET","Erigeron karvinskianus","Control ",0.0267,"5",225
"WET","Erigeron karvinskianus","Control ",0.0267,"7.5",204
"WET","Erigeron karvinskianus","Control ",0.0267,"10",194
"WET","Erigeron karvinskianus","Control ",0.0249,"0",352
"WET","Erigeron karvinskianus","Control ",0.0249,"1",383
"WET","Erigeron karvinskianus","Control ",0.0249,"2.5",358
"WET","Erigeron karvinskianus","Control ",0.0249,"5",338
"WET","Erigeron karvinskianus","Control ",0.0249,"7.5",303
"WET","Erigeron karvinskianus","Control ",0.0249,"10",287
"WET","Erigeron karvinskianus","Heated ",0.0281,"0",509
"WET","Erigeron karvinskianus","Heated ",0.0281,"1",692
"WET","Erigeron karvinskianus","Heated ",0.0281,"2.5",798
"WET","Erigeron karvinskianus","Heated ",0.0281,"5",842
"WET","Erigeron karvinskianus","Heated ",0.0281,"7.5",869
"WET","Erigeron karvinskianus","Heated ",0.0281,"10",889
"WET","Erigeron karvinskianus","Heated ",0.0312,"0",512
"WET","Erigeron karvinskianus","Heated ",0.0312,"1",702
"WET","Erigeron karvinskianus","Heated ",0.0312,"2.5",805
"WET","Erigeron karvinskianus","Heated ",0.0312,"5",823
"WET","Erigeron karvinskianus","Heated ",0.0312,"7.5",856
"WET","Erigeron karvinskianus","Heated ",0.0312,"10",892
"WET","Erigeron karvinskianus","Heated ",0.0219,"0",501
"WET","Erigeron karvinskianus","Heated ",0.0219,"1",592
"WET","Erigeron karvinskianus","Heated ",0.0219,"2.5",634
"WET","Erigeron karvinskianus","Heated ",0.0219,"5",693
"WET","Erigeron karvinskianus","Heated ",0.0219,"7.5",756
"WET","Erigeron karvinskianus","Heated ",0.0219,"10",792
"WET","Erigeron karvinskianus","Heated ",0.0207,"0",502
